1;15.03.2021 19:45:36;34.8
2;15.03.2021 19:45:36;123.0
3;15.03.2021 19:45:36;1.87
4;15.03.2021 19:46:12;44.87
5;15.03.2021 21:14:44;99.9
6;16.03.2021 10:44:34;0.5
7;16.03.2021 10:54:40;125.4
8;16.03.2021 10:54:40;45.98
9;16.03.2021 14:57:30;56.8
10;16.03.2021 15:13:18;48.02
11;16.03.2021 15:28:05;80.8
12;16.03.2021 15:35:24;70.0
13;16.03.2021 15:35:24;21.0
14;16.03.2021 15:36:14;34.0
15;16.03.2021 15:41:13;67.87
16;16.03.2021 15:41:13;120.0
17;16.03.2021 15:43:54;1.56
18;16.03.2021 15:44:29;65.3
19;16.03.2021 15:44:29;23.9
20;16.03.2021 15:45:31;55.0
21;16.03.2021 15:45:31;87.0
22;16.03.2021 15:46:06;78.4
23;16.03.2021 15:46:06;57.9
