1;11.03.2021 15:42:34;1.7
2;11.03.2021 15:42:34;125.2
3;11.03.2021 15:42:34;87.0
4;11.03.2021 15:47:42;1.65
5;11.03.2021 15:49:13;1.3
6;11.03.2021 15:49:13;58.0
7;11.03.2021 15:49:13;143.56
8;11.03.2021 15:50:31;0.76
9;11.03.2021 15:50:31;69.9
10;11.03.2021 15:50:31;134.0
11;11.03.2021 15:52:07;12.0
12;11.03.2021 15:52:07;45.0
13;11.03.2021 15:52:48;123.0
14;11.03.2021 15:52:48;1.89
15;11.03.2021 15:52:48;67.0
16;11.03.2021 15:55:53;23.0
17;11.03.2021 15:57:58;123.0
18;11.03.2021 15:57:58;23.0
19;11.03.2021 15:58:32;3556.0
20;11.03.2021 15:58:32;44.0
21; 11.03.2021 16:01:01; 123.0
22; 11.03.2021 16:01:01; 65.0
ID: 23; Messzeitpunkt: 11.03.2021 16:02:57; Km/h: 12.0
24; Messzeitpunkt: 11.03.2021 16:02:57; Km/h: 67.0
25; Messzeitpunkt: 11.03.2021 16:05:42; Geschwindigkeit: 23.0 km/h
